model,target_ix,source_ix,one_step_time,permanent_time,temporary_time
control_models/2176_T-LGL_Survival_Network_2008.aeon,0,1,0.0003731250762939453,0.0003170967102050781,0.00036716461181640625
control_models/2176_T-LGL_Survival_Network_2008.aeon,0,2,0.0002970695495605469,0.00029587745666503906,0.00036263465881347656
control_models/2176_T-LGL_Survival_Network_2008.aeon,0,3,0.00029540061950683594,0.00029468536376953125,0.0003616809844970703
control_models/2176_T-LGL_Survival_Network_2008.aeon,0,4,0.0002982616424560547,0.00029397010803222656,0.0003604888916015625
control_models/2176_T-LGL_Survival_Network_2008.aeon,0,5,0.00029349327087402344,0.0002930164337158203,0.0003609657287597656
control_models/2176_T-LGL_Survival_Network_2008.aeon,0,6,0.0002925395965576172,0.0002918243408203125,0.0003592967987060547
control_models/2176_T-LGL_Survival_Network_2008.aeon,0,7,0.0002932548522949219,0.00029277801513671875,0.00037026405334472656
control_models/2176_T-LGL_Survival_Network_2008.aeon,1,0,0.0003066062927246094,0.00030422210693359375,0.0003666877746582031
control_models/2176_T-LGL_Survival_Network_2008.aeon,1,2,0.0002989768981933594,0.0002970695495605469,0.0003654956817626953
control_models/2176_T-LGL_Survival_Network_2008.aeon,1,3,0.00029754638671875,0.0002968311309814453,0.0003657341003417969
control_models/2176_T-LGL_Survival_Network_2008.aeon,1,4,0.00029587745666503906,0.0002956390380859375,0.0003674030303955078
control_models/2176_T-LGL_Survival_Network_2008.aeon,1,5,0.0002961158752441406,0.00029468536376953125,0.0003635883331298828
control_models/2176_T-LGL_Survival_Network_2008.aeon,1,6,0.0002951622009277344,0.00029468536376953125,0.00036334991455078125
control_models/2176_T-LGL_Survival_Network_2008.aeon,1,7,0.00029540061950683594,0.000293731689453125,0.0003643035888671875
control_models/2176_T-LGL_Survival_Network_2008.aeon,2,0,0.0003058910369873047,0.0002994537353515625,0.00036644935607910156
control_models/2176_T-LGL_Survival_Network_2008.aeon,2,1,0.00030159950256347656,0.0002963542938232422,0.00036454200744628906
control_models/2176_T-LGL_Survival_Network_2008.aeon,2,3,0.00029397010803222656,0.00029349327087402344,0.00036144256591796875
control_models/2176_T-LGL_Survival_Network_2008.aeon,2,4,0.000293731689453125,0.0002930164337158203,0.0003597736358642578
control_models/2176_T-LGL_Survival_Network_2008.aeon,2,5,0.0002930164337158203,0.0002930164337158203,0.0003616809844970703
control_models/2176_T-LGL_Survival_Network_2008.aeon,2,6,0.0002932548522949219,0.00029158592224121094,0.0003604888916015625
control_models/2176_T-LGL_Survival_Network_2008.aeon,2,7,0.0002923011779785156,0.00029206275939941406,0.0003604888916015625
control_models/2176_T-LGL_Survival_Network_2008.aeon,3,0,0.00030732154846191406,0.0003001689910888672,0.00036787986755371094
control_models/2176_T-LGL_Survival_Network_2008.aeon,3,1,0.00029850006103515625,0.0002970695495605469,0.00037097930908203125
control_models/2176_T-LGL_Survival_Network_2008.aeon,3,2,0.00029730796813964844,0.0002970695495605469,0.0003654956817626953
control_models/2176_T-LGL_Survival_Network_2008.aeon,3,4,0.00029730796813964844,0.00029730796813964844,0.0003662109375
control_models/2176_T-LGL_Survival_Network_2008.aeon,3,5,0.00029850006103515625,0.00029659271240234375,0.00048279762268066406
control_models/2176_T-LGL_Survival_Network_2008.aeon,3,6,0.000347137451171875,0.00029540061950683594,0.0003631114959716797
control_models/2176_T-LGL_Survival_Network_2008.aeon,3,7,0.0002944469451904297,0.0002944469451904297,0.0003631114959716797
control_models/2176_T-LGL_Survival_Network_2008.aeon,4,0,0.0003070831298828125,0.00029969215393066406,0.0003674030303955078
control_models/2176_T-LGL_Survival_Network_2008.aeon,4,1,0.00029754638671875,0.0002956390380859375,0.0003654956817626953
control_models/2176_T-LGL_Survival_Network_2008.aeon,4,2,0.00029587745666503906,0.00030040740966796875,0.00036525726318359375
control_models/2176_T-LGL_Survival_Network_2008.aeon,4,3,0.00029540061950683594,0.0002951622009277344,0.0003643035888671875
control_models/2176_T-LGL_Survival_Network_2008.aeon,4,5,0.0002951622009277344,0.0002944469451904297,0.0003635883331298828
control_models/2176_T-LGL_Survival_Network_2008.aeon,4,6,0.0002951622009277344,0.00029468536376953125,0.0003719329833984375
control_models/2176_T-LGL_Survival_Network_2008.aeon,4,7,0.00037407875061035156,0.00038886070251464844,0.0004813671112060547
control_models/2176_T-LGL_Survival_Network_2008.aeon,5,0,0.00030875205993652344,0.00030303001403808594,0.0003695487976074219
control_models/2176_T-LGL_Survival_Network_2008.aeon,5,1,0.0002994537353515625,0.00029850006103515625,0.0003662109375
control_models/2176_T-LGL_Survival_Network_2008.aeon,5,2,0.0002982616424560547,0.0002980232238769531,0.0003647804260253906
control_models/2176_T-LGL_Survival_Network_2008.aeon,5,3,0.0002980232238769531,0.00032401084899902344,0.0003674030303955078
control_models/2176_T-LGL_Survival_Network_2008.aeon,5,4,0.0002982616424560547,0.0002987384796142578,0.0003662109375
control_models/2176_T-LGL_Survival_Network_2008.aeon,5,6,0.00029921531677246094,0.00029850006103515625,0.00037288665771484375
control_models/2176_T-LGL_Survival_Network_2008.aeon,5,7,0.0002989768981933594,0.00029850006103515625,0.00036716461181640625
control_models/2176_T-LGL_Survival_Network_2008.aeon,6,0,0.0003082752227783203,0.0003018379211425781,0.0003693103790283203
control_models/2176_T-LGL_Survival_Network_2008.aeon,6,1,0.0003008842468261719,0.0003948211669921875,0.0004646778106689453
control_models/2176_T-LGL_Survival_Network_2008.aeon,6,2,0.0002970695495605469,0.0002970695495605469,0.00037670135498046875
